   2900.00000000000        2.00000000000000     
    1    0.004619    0.002309
    2    0.009508    0.007063
    3    0.014665    0.012087
    4    0.020087    0.017376
    5    0.025769    0.022928
    6    0.031709    0.028739
    7    0.037904    0.034807
    8    0.044350    0.041127
    9    0.051043    0.047696
   10    0.057981    0.054512
   11    0.065159    0.061570
   12    0.072576    0.068868
   13    0.080227    0.076401
   14    0.088109    0.084168
   15    0.096218    0.092164
   16    0.104553    0.100386
   17    0.113108    0.108830
   18    0.121881    0.117494
   19    0.130869    0.126375
   20    0.140067    0.135468
   21    0.149474    0.144770
   22    0.159085    0.154279
   23    0.168897    0.163991
   24    0.178907    0.173902
   25    0.189111    0.184009
   26    0.199507    0.194309
   27    0.210091    0.204799
   28    0.220859    0.215475
   29    0.231808    0.226333
   30    0.242935    0.237371
   31    0.254237    0.248586
   32    0.265710    0.259973
   33    0.277351    0.271530
   34    0.289156    0.283253
   35    0.301123    0.295139
   36    0.313248    0.307185
   37    0.325527    0.319387
   38    0.337957    0.331742
   39    0.350536    0.344247
   40    0.363259    0.356897
   41    0.376124    0.369691
   42    0.389126    0.382625
   43    0.402263    0.395695
   44    0.415532    0.408897
   45    0.428928    0.422230
   46    0.442449    0.435689
   47    0.456092    0.449270
   48    0.469852    0.462972
   49    0.483728    0.476790
   50    0.497714    0.490721
   51    0.511809    0.504762
   52    0.526008    0.518909
   53    0.540309    0.533159
   54    0.554708    0.547509
   55    0.569202    0.561955
   56    0.583787    0.576495
   57    0.598460    0.591124
   58    0.613218    0.605839
   59    0.628058    0.620638
   60    0.642976    0.635517
   61    0.657968    0.650472
   62    0.673032    0.665500
   63    0.688164    0.680598
   64    0.703361    0.695763
   65    0.718620    0.710990
   66    0.733936    0.726278
   67    0.749308    0.741622
   68    0.764731    0.757019
   69    0.780202    0.772466
   70    0.795718    0.787960
   71    0.811276    0.803497
   72    0.826872    0.819074
   73    0.842503    0.834687
   74    0.858165    0.850334
   75    0.873856    0.866010
   76    0.889572    0.881714
   77    0.905309    0.897440
   78    0.921064    0.913187
   79    0.936835    0.928950
   80    0.952617    0.944726
   81    0.968407    0.960512
   82    0.984203    0.976305
   83    1.000000    0.992101
   84    1.015797    1.007899
   85    1.031593    1.023695
   86    1.047383    1.039488
   87    1.063165    1.055274
   88    1.078936    1.071050
   89    1.094691    1.086813
   90    1.110428    1.102560
   91    1.126144    1.118286
   92    1.141835    1.133990
   93    1.157497    1.149666
   94    1.173128    1.165313
   95    1.188724    1.180926
   96    1.204282    1.196503
   97    1.219798    1.212040
   98    1.235269    1.227534
   99    1.250692    1.242981
  100    1.266064    1.258378
  101    1.281380    1.273722
  102    1.296639    1.289010
  103    1.311836    1.304237
  104    1.326968    1.319402
  105    1.342032    1.334500
  106    1.357024    1.349528
  107    1.371942    1.364483
  108    1.386782    1.379362
  109    1.401540    1.394161
  110    1.416213    1.408876
  111    1.430798    1.423505
  112    1.445292    1.438045
  113    1.459691    1.452491
  114    1.473992    1.466841
  115    1.488191    1.481091
  116    1.502286    1.495238
  117    1.516272    1.509279
  118    1.530148    1.523210
  119    1.543908    1.537028
  120    1.557551    1.550730
  121    1.571072    1.564311
  122    1.584468    1.577770
  123    1.597737    1.591103
  124    1.610874    1.604305
  125    1.623876    1.617375
  126    1.636741    1.630309
  127    1.649464    1.643103
  128    1.662043    1.655753
  129    1.674473    1.668258
  130    1.686752    1.680613
  131    1.698877    1.692815
  132    1.710844    1.704861
  133    1.722649    1.716747
  134    1.734290    1.728470
  135    1.745763    1.740027
  136    1.757065    1.751414
  137    1.768192    1.762629
  138    1.779141    1.773667
  139    1.789909    1.784525
  140    1.800493    1.795201
  141    1.810889    1.805691
  142    1.821093    1.815991
  143    1.831103    1.826098
  144    1.840915    1.836009
  145    1.850526    1.845721
  146    1.859933    1.855230
  147    1.869131    1.864532
  148    1.878119    1.873625
  149    1.886892    1.882506
  150    1.895447    1.891170
  151    1.903782    1.899614
  152    1.911891    1.907836
  153    1.919773    1.915832
  154    1.927424    1.923599
  155    1.934841    1.931132
  156    1.942019    1.938430
  157    1.948957    1.945488
  158    1.955650    1.952304
  159    1.962096    1.958873
  160    1.968291    1.965193
  161    1.974231    1.971261
  162    1.979913    1.977072
  163    1.985335    1.982624
  164    1.990492    1.987913
  165    1.995381    1.992937
  166    2.000000    1.997691
