   2900.00000000000        2.00000000000000     
    1    0.004008    0.002004
    2    0.008223    0.006116
    3    0.012644    0.010434
    4    0.017268    0.014956
    5    0.022092    0.019680
    6    0.027115    0.024604
    7    0.032335    0.029725
    8    0.037748    0.035041
    9    0.043354    0.040551
   10    0.049149    0.046252
   11    0.055132    0.052141
   12    0.061300    0.058216
   13    0.067651    0.064476
   14    0.074183    0.070917
   15    0.080894    0.077539
   16    0.087781    0.084338
   17    0.094842    0.091312
   18    0.102076    0.098459
   19    0.109479    0.105777
   20    0.117049    0.113264
   21    0.124785    0.120917
   22    0.132684    0.128735
   23    0.140744    0.136714
   24    0.148963    0.144853
   25    0.157337    0.153150
   26    0.165867    0.161602
   27    0.174548    0.170207
   28    0.183379    0.178963
   29    0.192357    0.187868
   30    0.201481    0.196919
   31    0.210748    0.206115
   32    0.220156    0.215452
   33    0.229703    0.224929
   34    0.239386    0.234544
   35    0.249203    0.244295
   36    0.259153    0.254178
   37    0.269232    0.264192
   38    0.279439    0.274335
   39    0.289771    0.284605
   40    0.300226    0.294998
   41    0.310802    0.305514
   42    0.321497    0.316150
   43    0.332309    0.326903
   44    0.343234    0.337772
   45    0.354272    0.348753
   46    0.365420    0.359846
   47    0.376675    0.371047
   48    0.388036    0.382355
   49    0.399500    0.393768
   50    0.411064    0.405282
   51    0.422728    0.416896
   52    0.434488    0.428608
   53    0.446343    0.440415
   54    0.458289    0.452316
   55    0.470325    0.464307
   56    0.482449    0.476387
   57    0.494659    0.488554
   58    0.506952    0.500805
   59    0.519325    0.513138
   60    0.531778    0.525551
   61    0.544307    0.538042
   62    0.556910    0.550608
   63    0.569585    0.563248
   64    0.582331    0.575958
   65    0.595144    0.588737
   66    0.608022    0.601583
   67    0.620964    0.614493
   68    0.633967    0.627465
   69    0.647028    0.640498
   70    0.660147    0.653588
   71    0.673319    0.666733
   72    0.686544    0.679931
   73    0.699818    0.693181
   74    0.713141    0.706480
   75    0.726508    0.719825
   76    0.739920    0.733214
   77    0.753372    0.746646
   78    0.766863    0.760117
   79    0.780390    0.773626
   80    0.793952    0.787171
   81    0.807546    0.800749
   82    0.821170    0.814358
   83    0.834822    0.827996
   84    0.848500    0.841661
   85    0.862200    0.855350
   86    0.875922    0.869061
   87    0.889663    0.882792
   88    0.903420    0.896541
   89    0.917191    0.910306
   90    0.930975    0.924083
   91    0.944769    0.937872
   92    0.958571    0.951670
   93    0.972378    0.965474
   94    0.986188    0.979283
   95    1.000000    0.993094
   96    1.013812    1.006906
   97    1.027622    1.020717
   98    1.041429    1.034526
   99    1.055231    1.048330
  100    1.069025    1.062128
  101    1.082809    1.075917
  102    1.096580    1.089694
  103    1.110337    1.103459
  104    1.124078    1.117208
  105    1.137800    1.130939
  106    1.151500    1.144650
  107    1.165178    1.158339
  108    1.178830    1.172004
  109    1.192454    1.185642
  110    1.206048    1.199251
  111    1.219610    1.212829
  112    1.233137    1.226374
  113    1.246628    1.239883
  114    1.260080    1.253354
  115    1.273492    1.266786
  116    1.286859    1.280175
  117    1.300182    1.293520
  118    1.313456    1.306819
  119    1.326681    1.320069
  120    1.339853    1.333267
  121    1.352972    1.346412
  122    1.366033    1.359502
  123    1.379036    1.372535
  124    1.391978    1.385507
  125    1.404856    1.398417
  126    1.417669    1.411263
  127    1.430415    1.424042
  128    1.443090    1.436752
  129    1.455693    1.449392
  130    1.468222    1.461958
  131    1.480675    1.474449
  132    1.493048    1.486862
  133    1.505341    1.499195
  134    1.517551    1.511446
  135    1.529675    1.523613
  136    1.541711    1.535693
  137    1.553657    1.547684
  138    1.565512    1.559585
  139    1.577272    1.571392
  140    1.588936    1.583104
  141    1.600500    1.594718
  142    1.611964    1.606232
  143    1.623325    1.617645
  144    1.634580    1.628953
  145    1.645728    1.640154
  146    1.656766    1.651247
  147    1.667691    1.662228
  148    1.678503    1.673097
  149    1.689198    1.683850
  150    1.699774    1.694486
  151    1.710229    1.705002
  152    1.720561    1.715395
  153    1.730768    1.725665
  154    1.740847    1.735808
  155    1.750797    1.745822
  156    1.760614    1.755705
  157    1.770297    1.765456
  158    1.779844    1.775071
  159    1.789252    1.784548
  160    1.798519    1.793885
  161    1.807643    1.803081
  162    1.816621    1.812132
  163    1.825452    1.821037
  164    1.834133    1.829793
  165    1.842663    1.838398
  166    1.851037    1.846850
  167    1.859256    1.855147
  168    1.867316    1.863286
  169    1.875215    1.871265
  170    1.882951    1.879083
  171    1.890521    1.886736
  172    1.897924    1.894223
  173    1.905158    1.901541
  174    1.912219    1.908688
  175    1.919106    1.915662
  176    1.925817    1.922461
  177    1.932349    1.929083
  178    1.938700    1.935524
  179    1.944868    1.941784
  180    1.950851    1.947859
  181    1.956646    1.953748
  182    1.962252    1.959449
  183    1.967665    1.964959
  184    1.972885    1.970275
  185    1.977908    1.975396
  186    1.982732    1.980320
  187    1.987356    1.985044
  188    1.991777    1.989566
  189    1.995992    1.993884
  190    2.000000    1.997996
